location
"117.320679, 31.717875"
"117.321284, 31.717174"
"117.318604, 31.716213"
"117.319912, 31.715973"
"117.322888, 31.716265"
"117.199892, 31.960522"
"117.316887, 31.812384"
"117.215706, 31.793979"
"117.252145, 31.827642"
"117.154545, 31.709899"
"117.174268, 31.718203"
"117.231439, 31.789968"
"117.449608, 31.896504"
"117.383621, 31.883411"
"117.286163, 31.732314"
"117.327042, 31.848455"
"117.290962, 31.903645"
"117.31107, 31.827162"
"117.381548, 31.871057"
"117.327351, 31.878916"
"117.274038, 31.890835"
"117.297791, 31.872704"
"117.297422, 31.873409"
"117.485192, 31.828507"
"117.298515, 31.818702"
"117.297596, 31.829741"
"117.291736, 31.826754"
"117.177097, 31.858352"
"117.217635, 31.818686"
"117.357297, 31.86179"
"117.234936, 31.823842"
"117.299503, 31.866095"
"117.24229, 31.845355"
"117.364902, 31.872603"
"117.290744, 31.8447"
"117.21981, 31.879957"
"117.20822, 31.796954"
"117.867475, 31.603879"
"117.386948, 31.874093"
"117.321622, 31.798199"
"117.1892, 31.779862"
"117.259346, 31.768847"
"117.204414, 31.790046"
"116.870891, 31.802781"
"117.225727, 31.81143"
"117.285165, 31.734462"
"117.303678, 31.260596"
"117.168911, 31.712929"
"117.240242, 31.863521"
"117.262572, 31.887763"
"117.265444, 31.885706"
"117.22262, 31.859127"
"0, 0"
"117.30846, 31.860385"
"117.184671, 31.739938"
"117.261266, 31.883111"
"117.315611, 31.81009"
"117.279152, 31.943298"
"117.3292, 31.87164"
"117.244809, 31.805224"
"117.230792, 31.852644"
"117.290471, 31.882074"
"117.121898, 31.857095"
"117.291011, 31.882617"
"117.318892, 31.887691"
"117.170373, 31.719882"
"117.29399, 31.877818"
"117.254006, 31.825031"
"117.248783, 31.824927"
"117.25289, 31.824297"
"117.252537, 31.858235"
"117.873721, 31.594973"
"117.307649, 31.875713"
"117.884243, 31.616215"
"117.262197, 31.999944"
"117.262704, 31.988838"
"117.322273, 31.820787"
"117.337514, 31.943006"
"117.262821, 31.985882"
"117.262204, 31.993883"
"117.23783, 31.866913"
"117.30601, 31.703405"
"117.305637, 31.701893"
"117.307896, 31.702171"
"117.305746, 31.702496"
"117.270653, 31.882975"
"117.269884, 31.881499"
"117.274548, 31.883542"
"117.279945, 31.856322"
"117.337392, 31.879913"
"117.121898, 31.857095"
"117.121898, 31.857095"
"117.478633, 31.659419"
"117.284973, 31.86547"
"117.121898, 31.857095"
"117.121898, 31.857095"
"117.027892, 31.746123"
"117.121898, 31.857095"
"117.28694, 31.864221"
"117.234936, 31.823842"
"117.292239, 31.263023"
"117.293119, 31.846973"
"117.305023, 31.890812"
"117.321911, 31.813514"
"117.284275, 31.867004"
"117.288275, 31.846305"
"117.361103, 31.852298"
"117.291712, 31.884814"
"117.240451, 31.857543"
"117.208727, 31.859359"
"117.207428, 31.789775"
"117.383984, 31.874052"
"117.320194, 31.876315"
"117.229417, 31.852738"
"117.306404, 31.86047"
"117.303277, 31.856879"
"117.301825, 31.860864"
"117.261264, 31.788571"
"117.211734, 31.797421"
"117.311981, 31.854999"
"117.277742, 31.831866"
"117.30043, 31.872196"
"117.300369, 31.871235"
"117.275663, 31.834133"
"117.271542, 31.775402"
"0, 0"
"117.30057, 31.85845"
"117.309464, 31.884733"
"117.367753, 31.865202"
"117.279582, 31.722996"
"117.175534, 31.822247"
"117.302404, 31.710442"
"117.305487, 31.710757"
"117.305521, 31.708383"
"117.307578, 31.708442"
"117.402946, 31.896537"
"117.174139, 31.829708"
"117.208695, 31.818384"
"117.300722, 31.838346"
"117.171392, 31.786059"
"117.32723, 31.883789"
"117.328097, 31.881773"
"117.242911, 31.835115"
"117.303106, 31.725766"
"117.268465, 31.810374"
"117.271289, 31.811191"
"117.27181, 31.811783"
"117.271839, 31.809768"
"117.26828, 31.81267"
"117.30308, 31.819052"
"117.310756, 31.845035"
"117.346744, 31.898138"
"117.346537, 31.899901"
"117.222873, 31.804218"
